country,g_whoregion,iso_numeric,iso2,iso3,year,who_case_detection_rate_pct,who_notified_rate_per_100k,who_case_fatality_ratio,who_estimated_incidence_per_100k,who_estimated_incidence_num,who_estimated_mortality_per_100k,who_mortality_excl_hiv_per_100k,who_mortality_excl_hiv_num,who_estimated_mortality_num,e_mort_tbhiv_100k,e_mort_tbhiv_num,population
China,Western Pacific,156,CN,CHN,2000,33.0,36.0,0.1,107.0,1360000,9.6,8.7,111000.0,122000.0,0.89,11000.0,1269581178
China,Western Pacific,156,CN,CHN,2001,35.0,37.0,0.09,104.0,1330000,8.8,8.0,102000.0,112000.0,0.77,9900.0,1278725053
China,Western Pacific,156,CN,CHN,2002,36.0,36.0,0.08,100.0,1290000,8.1,7.3,94000.0,104000.0,0.72,9200.0,1286866836
China,Western Pacific,156,CN,CHN,2003,49.0,48.0,0.08,97.0,1260000,7.3,6.7,87000.0,95000.0,0.58,7600.0,1294517325
China,Western Pacific,156,CN,CHN,2004,65.0,61.0,0.06,94.0,1220000,5.8,5.4,70000.0,76000.0,0.44,5700.0,1302100319
China,Western Pacific,156,CN,CHN,2005,76.0,69.0,0.07,91.0,1190000,5.9,5.5,72000.0,77000.0,0.37,4800.0,1310027136
China,Western Pacific,156,CN,CHN,2006,82.0,72.0,0.06,88.0,1160000,5.5,5.1,67000.0,72000.0,0.37,4800.0,1318054033
China,Western Pacific,156,CN,CHN,2007,87.0,74.0,0.06,85.0,1120000,4.9,4.6,61000.0,65000.0,0.32,4200.0,1325813580
China,Western Pacific,156,CN,CHN,2008,89.0,73.0,0.06,82.0,1100000,4.4,4.2,55000.0,59000.0,0.3,3900.0,1333821021
China,Western Pacific,156,CN,CHN,2009,89.0,72.0,0.05,81.0,1090000,4.3,4.1,54000.0,58000.0,0.29,3900.0,1342522712
China,Western Pacific,156,CN,CHN,2010,89.0,67.0,0.06,76.0,1020000,4.1,3.9,52000.0,56000.0,0.27,3700.0,1351561515
China,Western Pacific,156,CN,CHN,2011,89.0,66.0,0.05,75.0,1020000,3.7,3.4,46000.0,50000.0,0.27,3700.0,1360250669
China,Western Pacific,156,CN,CHN,2012,88.0,65.0,0.04,73.0,1010000,3.3,3.0,42000.0,45000.0,0.27,3700.0,1369520867
China,Western Pacific,156,CN,CHN,2013,88.0,61.0,0.05,70.0,959000,3.3,3.0,42000.0,46000.0,0.25,3500.0,1379008044
China,Western Pacific,156,CN,CHN,2014,88.0,59.0,0.05,67.0,928000,3.0,2.8,39000.0,42000.0,0.23,3300.0,1387951973
China,Western Pacific,156,CN,CHN,2015,88.0,57.0,0.05,65.0,905000,3.0,2.8,39000.0,42000.0,0.22,3100.0,1396134174
China,Western Pacific,156,CN,CHN,2016,88.0,55.0,0.05,63.0,884000,3.0,2.8,39000.0,42000.0,0.2,2900.0,1404052628
China,Western Pacific,156,CN,CHN,2017,88.0,55.0,0.04,62.0,879000,2.8,2.6,37000.0,39000.0,0.17,2400.0,1412354727
China,Western Pacific,156,CN,CHN,2018,92.0,56.0,0.04,61.0,861000,2.5,2.4,34000.0,36000.0,0.14,2000.0,1419008955
China,Western Pacific,156,CN,CHN,2019,88.0,51.0,0.04,58.0,827000,2.3,2.2,31000.0,33000.0,0.15,2200.0,1423520349
China,Western Pacific,156,CN,CHN,2020,75.0,44.0,0.04,58.0,834000,2.2,2.1,30000.0,32000.0,0.15,2100.0,1426106090
China,Western Pacific,156,CN,CHN,2021,75.0,41.0,0.04,55.0,781000,2.1,2.0,28000.0,30000.0,0.14,2000.0,1426437266
China,Western Pacific,156,CN,CHN,2022,67.0,35.0,0.04,52.0,748000,2.0,1.9,27000.0,29000.0,0.14,2000.0,1425179568
China,Western Pacific,156,CN,CHN,2023,76.0,40.0,0.04,52.0,741000,1.9,1.8,25000.0,27000.0,0.14,2000.0,1422584930
