iso3,year,c_newinc,e_pop_num,priv_new_dx
CHN,2000,454372.0,1269581178,
CHN,2001,470221.0,1278725053,
CHN,2002,462609.0,1286866836,
CHN,2003,615868.0,1294517325,
CHN,2004,798433.0,1302100319,
CHN,2005,899729.0,1310027136,
CHN,2006,945175.0,1318054033,8.0
CHN,2007,979502.0,1325813580,
CHN,2008,975821.0,1333821021,
CHN,2009,965257.0,1342522712,0.0
CHN,2010,908399.0,1351561515,
CHN,2011,899669.0,1360250669,0.0
CHN,2012,890645.0,1369520867,0.0
CHN,2013,847176.0,1379008044,0.0
CHN,2014,819283.0,1387951973,0.0
CHN,2015,798439.0,1396134174,0.0
CHN,2016,778493.0,1404052628,0.0
CHN,2017,773150.0,1412354727,
CHN,2018,795245.0,1419008955,0.0
CHN,2019,728265.0,1423520349,0.0
CHN,2020,624715.0,1426106090,
CHN,2021,585340.0,1426437266,
CHN,2022,501261.0,1425179568,
CHN,2023,564918.0,1422584930,
CHN,2024,531097.0,1419321279,
