year,month,monthly_ptb_cases_adjusted,adjustment_factor,note
2020,1,47506,0.7019,WHO-adjusted from CDC monthly reports
2020,2,31538,0.7019,WHO-adjusted from CDC monthly reports
2020,3,51538,0.7019,WHO-adjusted from CDC monthly reports
2020,4,60142,0.7019,WHO-adjusted from CDC monthly reports
2020,5,58528,0.7019,WHO-adjusted from CDC monthly reports
2020,6,59628,0.7019,WHO-adjusted from CDC monthly reports
2020,7,58329,0.7019,WHO-adjusted from CDC monthly reports
2020,8,53641,0.7019,WHO-adjusted from CDC monthly reports
2020,9,52930,0.7019,WHO-adjusted from CDC monthly reports
2020,10,47619,0.7019,WHO-adjusted from CDC monthly reports
2020,11,48880,0.7019,WHO-adjusted from CDC monthly reports
2020,12,44990,0.7019,WHO-adjusted from CDC monthly reports
2021,1,45492,0.7019,WHO-adjusted from CDC monthly reports
2021,2,38903,0.7019,WHO-adjusted from CDC monthly reports
2021,3,56716,0.7019,WHO-adjusted from CDC monthly reports
2021,4,56537,0.7019,WHO-adjusted from CDC monthly reports
2021,5,52813,0.7019,WHO-adjusted from CDC monthly reports
2021,6,51859,0.7019,WHO-adjusted from CDC monthly reports
2021,7,53799,0.7019,WHO-adjusted from CDC monthly reports
2021,8,47705,0.7019,WHO-adjusted from CDC monthly reports
2021,9,47597,0.7019,WHO-adjusted from CDC monthly reports
2021,10,43090,0.7019,WHO-adjusted from CDC monthly reports
2021,11,43344,0.7019,WHO-adjusted from CDC monthly reports
2021,12,43369,0.7019,WHO-adjusted from CDC monthly reports
2022,1,39848,0.7019,WHO-adjusted from CDC monthly reports
2022,2,34066,0.7019,WHO-adjusted from CDC monthly reports
2022,3,52041,0.7019,WHO-adjusted from CDC monthly reports
2022,4,43266,0.7019,WHO-adjusted from CDC monthly reports
2022,5,44403,0.7019,WHO-adjusted from CDC monthly reports
2022,6,49666,0.7019,WHO-adjusted from CDC monthly reports
2022,7,49144,0.7019,WHO-adjusted from CDC monthly reports
2022,8,50841,0.7019,WHO-adjusted from CDC monthly reports
2022,9,45690,0.7019,WHO-adjusted from CDC monthly reports
2022,10,36712,0.7019,WHO-adjusted from CDC monthly reports
2022,11,36063,0.7019,WHO-adjusted from CDC monthly reports
2022,12,27598,0.7019,WHO-adjusted from CDC monthly reports
