iso3,year,country,g.whoregion,c.newinc,e.pop.num,new.sp,new.sn,new.su,new.ep,new.labconf,new.clindx,ret.rel,ret.taf,ret.tad
CHN,1980,China,WPR,,983163544,,,,,,,,,
CHN,1981,China,WPR,,997721066,,,,,,,,,
CHN,1982,China,WPR,98654,1013588182,,,,,,,,,
CHN,1983,China,WPR,117557,1029064955,,,,,,,,,
CHN,1984,China,WPR,151564,1043849639,,,,,,,,,
CHN,1985,China,WPR,226899,1059807817,,,,,,,,,
CHN,1986,China,WPR,265095,1077233611,,,,,,,,,
CHN,1987,China,WPR,251600,1096217454,,,,,,,,,
CHN,1988,China,WPR,304639,1115244164,,,,,,,,,
CHN,1989,China,WPR,310607,1133991007,,,,,,,,,
CHN,1990,China,WPR,375481,1153582726,,,,,,,,,
CHN,1991,China,WPR,345000,1170788522,,,,,,,,,
CHN,1992,China,WPR,320426,1184574235,,,,,,,,,
CHN,1993,China,WPR,344218,1197308576,84898,,,,,,,,
CHN,1994,China,WPR,363804,1209003098,104729,,,,,,,,
CHN,1995,China,WPR,515764,1220133932,134488,183400,19688,1560,,,18693,,
CHN,1996,China,WPR,504758,1230944806,203670,247905,19152,2307,,,31724,39840,0
CHN,1997,China,WPR,466394,1241139620,236021,190006,22648,0,,,17720,36773,0
CHN,1998,China,WPR,445704,1250847127,202817,194417,30128,,,,18342,,
CHN,1999,China,WPR,449518,1260176653,201775,196873,32670,,,,18200,,28692
CHN,2000,China,WPR,454372,1269581178,204765,194488,35455,,,,19664,26740,
CHN,2001,China,WPR,470221,1278725053,204591,203252,34474,,,,19729,,23047
CHN,2002,China,WPR,462609,1286866836,194972,185840,38041,17679,194972,,26077,,
CHN,2003,China,WPR,615868,1294517325,267414,207767,41038,30768,267414,,68881,,
CHN,2004,China,WPR,798433,1302100319,384886,258981,25452,39395,384886,,81889,,
CHN,2005,China,WPR,899729,1310027136,472719,315076,14081,42845,472719,,49707,3616,6011
CHN,2006,China,WPR,945175,1318054033,468291,374342,8150,38294,468291,,47526,3003,3800
CHN,2007,China,WPR,979502,1325813580,465877,422965,7669,36612,465877,,46379,2534,2814
CHN,2008,China,WPR,975821,1333821021,462596,425094,6021,35546,462596,,43701,2162,2174
CHN,2009,China,WPR,965257,1342522712,449152,435325,4074,34169,449152,,42537,2676,1525
CHN,2010,China,WPR,908399,1351561515,429899,430580,2288,6325,484116,,39307,2662,1103
CHN,2011,China,WPR,899669,1360250669,377005,479486,2028,6540,377005,,34610,2499,886
CHN,2012,China,WPR,890645,1369520867,316332,533977,2073,6479,316332,,31784,2281,738
CHN,2013,China,WPR,847176,1379008044,,,,30767,275915,512469,,,
CHN,2014,China,WPR,819283,1387951973,,,,32348,235704,526106,,,
CHN,2015,China,WPR,798439,1396134174,,,,33259,215151,527531,,,
CHN,2016,China,WPR,778493,1404052628,,,,35369,207740,514549,,,
CHN,2017,China,WPR,773150,1412354727,,,,36525,212914,501078,,,
CHN,2018,China,WPR,795245,1419008955,,,,42471,249251,474820,,,
CHN,2019,China,WPR,728265,1423520349,,,,39109,295225,364054,,,
CHN,2020,China,WPR,624715,1426106090,,,,33473,297862,264362,,,
CHN,2021,China,WPR,585340,1426437266,,,,28192,296854,222814,,,
CHN,2022,China,WPR,501261,1425179568,,,,28570,268247,178242,,,
CHN,2023,China,WPR,564918,1422584930,,,,29458,326625,168788,,,
CHN,2024,China,WPR,531097,1419321279,,,,30105,330357,137576,,,
