date,tb_incidence_rate_per_100k,province,province_cn
2005-01-01,4.634,Liaoning,辽宁
2005-02-01,3.6555,Liaoning,辽宁
2005-03-01,5.8114,Liaoning,辽宁
2005-04-01,5.6219,Liaoning,辽宁
2005-05-01,5.3613,Liaoning,辽宁
2005-06-01,5.077,Liaoning,辽宁
2005-07-01,4.8733,Liaoning,辽宁
2005-08-01,5.0865,Liaoning,辽宁
2005-09-01,4.3047,Liaoning,辽宁
2005-10-01,3.5347,Liaoning,辽宁
2005-11-01,3.9635,Liaoning,辽宁
2005-12-01,3.3144,Liaoning,辽宁
2006-01-01,5.2775,Liaoning,辽宁
2006-02-01,5.0269,Liaoning,辽宁
2006-03-01,5.8394,Liaoning,辽宁
2006-04-01,5.9049,Liaoning,辽宁
2006-05-01,5.5982,Liaoning,辽宁
2006-06-01,5.0339,Liaoning,辽宁
2006-07-01,4.6172,Liaoning,辽宁
2006-08-01,4.6874,Liaoning,辽宁
2006-09-01,4.0412,Liaoning,辽宁
2006-10-01,4.1185,Liaoning,辽宁
2006-11-01,3.4301,Liaoning,辽宁
2006-12-01,1.9668,Liaoning,辽宁
2007-01-01,6.0377,Liaoning,辽宁
2007-02-01,5.0838,Liaoning,辽宁
2007-03-01,5.819,Liaoning,辽宁
2007-04-01,5.797999999999999,Liaoning,辽宁
2007-05-01,5.812,Liaoning,辽宁
2007-06-01,5.4118,Liaoning,辽宁
2007-07-01,5.0279,Liaoning,辽宁
2007-08-01,4.551,Liaoning,辽宁
2007-09-01,3.9483,Liaoning,辽宁
2007-10-01,3.8739,Liaoning,辽宁
2007-11-01,3.3527,Liaoning,辽宁
2007-12-01,1.8776,Liaoning,辽宁
2008-01-01,6.6304,Liaoning,辽宁
2008-02-01,5.9305,Liaoning,辽宁
2008-03-01,5.9235,Liaoning,辽宁
2008-04-01,6.3105,Liaoning,辽宁
2008-05-01,5.9374,Liaoning,辽宁
2008-06-01,5.5504,Liaoning,辽宁
2008-07-01,5.3534,Liaoning,辽宁
2008-08-01,4.7995,Liaoning,辽宁
2008-09-01,4.1414,Liaoning,辽宁
2008-10-01,4.2688,Liaoning,辽宁
2008-11-01,3.5805,Liaoning,辽宁
2008-12-01,1.7497,Liaoning,辽宁
2009-01-01,5.2615,Liaoning,辽宁
2009-02-01,5.061,Liaoning,辽宁
2009-03-01,6.2635,Liaoning,辽宁
2009-04-01,5.9572,Liaoning,辽宁
2009-05-01,5.3421,Liaoning,辽宁
2009-06-01,5.0012,Liaoning,辽宁
2009-07-01,4.8698,Liaoning,辽宁
2009-08-01,4.6464,Liaoning,辽宁
2009-09-01,4.2709,Liaoning,辽宁
2009-10-01,4.3838,Liaoning,辽宁
2009-11-01,4.112,Liaoning,辽宁
2009-12-01,3.4255,Liaoning,辽宁
2010-01-01,5.0171,Liaoning,辽宁
2010-02-01,4.6857,Liaoning,辽宁
2010-03-01,5.6251,Liaoning,辽宁
2010-04-01,5.7486,Liaoning,辽宁
2010-05-01,5.6457,Liaoning,辽宁
2010-06-01,5.3669,Liaoning,辽宁
2010-07-01,5.1177,Liaoning,辽宁
2010-08-01,4.8389,Liaoning,辽宁
2010-09-01,4.5074,Liaoning,辽宁
2010-10-01,4.4663,Liaoning,辽宁
2010-11-01,4.2971,Liaoning,辽宁
2010-12-01,4.016,Liaoning,辽宁
2011-01-01,6.313,Liaoning,辽宁
2011-02-01,5.9868,Liaoning,辽宁
2011-03-01,6.621,Liaoning,辽宁
2011-04-01,6.2149,Liaoning,辽宁
2011-05-01,6.1533,Liaoning,辽宁
2011-06-01,5.7426,Liaoning,辽宁
2011-07-01,5.5715,Liaoning,辽宁
2011-08-01,5.8978,Liaoning,辽宁
2011-09-01,5.4095,Liaoning,辽宁
2011-10-01,5.5076,Liaoning,辽宁
2011-11-01,4.9966,Liaoning,辽宁
2011-12-01,4.3463,Liaoning,辽宁
2012-01-01,14.7141,Liaoning,辽宁
2012-02-01,7.2454,Liaoning,辽宁
2012-03-01,7.4163,Liaoning,辽宁
2012-04-01,7.1246,Liaoning,辽宁
2012-05-01,7.1907,Liaoning,辽宁
2012-06-01,5.7325,Liaoning,辽宁
2012-07-01,5.2859,Liaoning,辽宁
2012-08-01,5.2039,Liaoning,辽宁
2012-09-01,4.7665,Liaoning,辽宁
2012-10-01,4.9692,Liaoning,辽宁
2012-11-01,4.3677,Liaoning,辽宁
2012-12-01,3.7753,Liaoning,辽宁
2013-01-01,5.4647,Liaoning,辽宁
2013-02-01,4.8929,Liaoning,辽宁
2013-03-01,5.4123,Liaoning,辽宁
